ending1,ending2,labels,startphrase
"Kualitas diri seseorang itu semakin sukses, semakin bersahaja.",Kualitas diri seseorang itu setelah sukses menjadi sombong.,1,Kualitas diri seseorang itu ibarat bagai kacang lupa kulitnya.
Mengapa kamu sedih?.,Mengapa kamu bahagia?.,0,Mengapa wajahmu ditekuk?.
Mengapa kamu sedih?.,Mengapa kamu bahagia?.,1,Mengapa wajahmu cerah?.
Garis nasib seseorang itu adalah takdir.,Garis nasib seseorang itu adalah usaha.,0,Garis nasib seseorang itu ibarat air yang mengalir dari tempat tinggi ke rendah.
Garis nasib seseorang itu adalah takdir.,Garis nasib seseorang itu adalah usaha.,1,Garis nasib seseorang itu ibarat hujan buatan yang diusahakan oleh kemajuan teknologi.
Pertanyaan yang kamu ajukan di kelas itu mustahil.,Pertanyaan yang kamu ajukan di kelas itu ilmiah.,0,Pertanyaan yang selalu kamu ajukan di kelas itu ibarat seorang suami istri tua yang menemukan bayi di dalam timun emas.
Pertanyaan yang kamu ajukan di kelas itu mustahil.,Pertanyaan yang kamu ajukan di kelas itu ilmiah.,1,Pertanyaan yang selalu kamu ajukan di kelas itu ibarat pembuktian bahwa udara itu nyata.
Bukannya tidak ingin bertanding melawannya. Hanya saja rasanya seperti terlalu sulit dikalahkan.,Bukannya tidak ingin bertanding melawannya. Hanya saja rasanya seperti terlalu mudah dikalahkan.,0,Bukannya tidak ingin bertanding melawannya. Hanya saja rasanya seperti melawan pasukan Kurawa seorang diri.
Bukannya tidak ingin bertanding melawannya. Hanya saja rasanya seperti terlalu sulit dikalahkan.,Bukannya tidak ingin bertanding melawannya. Hanya saja rasanya seperti terlalu mudah dikalahkan.,1,Bukannya tidak ingin bertanding melawannya. Hanya saja rasanya seperti melawan seekor semut dengan sebotol Baygon.
Imbal hasil yang dicatatkan oleh reksadana pasar uang itu naik secara drastis.,Imbal hasil yang dicatatkan oleh reksadana pasar uang itu jatuh secara drastis.,0,Imbal hasil yang dicatatkan oleh reksadana pasar uang itu ibarat angka kolesterol setelah makan makanan laut.
Imbal hasil yang dicatatkan oleh reksadana pasar uang itu naik secara drastis.,Imbal hasil yang dicatatkan oleh reksadana pasar uang itu jatuh secara drastis.,1,Imbal hasil yang dicatatkan oleh reksadana pasar uang itu ibarat tekanan darah setelah makan mentimum 1 kg.
Miskin itu adalah kekurangan moral.,Miskin itu adalah kekurangan modal.,0,"Miskin adalah ketika hartanya tidak habis sampai 7 turunan, tapi dia masih korupsi."
Miskin itu adalah kekurangan moral.,Miskin itu adalah kekurangan modal.,1,Miskin adalah tidak menemukan sesuatu apapun untuk dimakan di hari itu.
Kontra pada saat rapat RT itu dikucilkan.,Kontra pada saat rapat RT itu banyak pendukungnya.,0,Kontra pada saat rapat RT itu ibarat sebatang lilin yang bersikeras mempertahankan nyala apinya di tengah gempuran angin.
Kontra pada saat rapat RT itu dikucilkan.,Kontra pada saat rapat RT itu banyak pendukungnya.,1,Kontra pada saat rapat RT itu ibarat menyiramkan minyak di bara api.
Cara belajar saat ujian tengah semester selalu kebut sekaligus.,Cara belajar saat ujian tengah semester selalu konsisten.,0,Cara belajar saat ujian tengah semester selalu diibaratkan dengan membangun seribu candi dalam sehari semalam.
Cara belajar saat ujian tengah semester selalu kebut sekaligus.,Cara belajar saat ujian tengah semester selalu konsisten.,1,Cara belajar saat ujian tengah semester selalu diibaratkan dengan tetesan air yang akhirnya dapat melubangi sebuah batu.
Menjaga integritas saat bekerja di perusahaan itu ibarat sulit sekali.,Menjaga integritas saat bekerja di perusahaan itu ibarat mudah sekali.,0,Menjaga integritas saat bekerja di perusahaan itu ibarat berjihad di jalan Allah.
Menjaga integritas saat bekerja di perusahaan itu ibarat sulit sekali.,Menjaga integritas saat bekerja di perusahaan itu ibarat mudah sekali.,1,Menjaga integritas saat bekerja di perusahaan itu ibarat rebahan sambil minum es teh di pinggir pantai.
Mengkritik pejabat dilarang.,Mengkritik pejabat dipersilakan.,0,Mengkritik pejabat adalah kejahatan yang harus dibasmi oleh polisi.
Mengkritik pejabat dilarang.,Mengkritik pejabat dipersilakan.,1,Mengkritik pejabat adalah informasi penting untuk disimak dengan saksama.
Ilmu itu sangat berguna.,Ilmu itu tidak berguna.,0,Ilmu adalah investasi untuk masa depan yang tidak tergerus inflasi.
Ilmu itu sangat berguna.,Ilmu itu tidak berguna.,1,Ilmu adalah suatu hal yang didapatkan hanya untuk membuang-buang waktu.
Nyawa seseorang itu berharga.,Nyawa seseorang itu hina.,0,Nyawa seseorang itu ibarat anugerah yang tidak ternilai harganya.
Nyawa seseorang itu berharga.,Nyawa seseorang itu hina.,1,Nyawa seseorang itu ibarat sampah yang berserakan di pinggir kali.
Bulu burung merak saat merekah itu sangat menakjubkan.,Bulu burung merak saat merekah itu mengecewakan.,0,Bulu burung merak ketika merekah ibarat kembang api berharga jutaan yang meletus di udara dengan gemerlap warna dan motif.
Bulu burung merak saat merekah itu sangat menakjubkan.,Bulu burung merak saat merekah itu mengecewakan.,1,Bulu burung merak ketika merekah ibarat kembang api murahan yang bahkan tidak kuat untuk meletupkan api terlalu jauh dari selongsongnya.
"Bagi saya, ibu adalah sosok yang baik.","Bagi saya, ibu adalah sosok yang jahat.",0,"Bagi saya, ibu adalah sumber mata air yang memberikan kehidupan untuk makhluk di sekitarnya."
"Bagi saya, ibu adalah sosok yang baik.","Bagi saya, ibu adalah sosok yang jahat.",1,"Bagi saya, ibu adalah racun yang melenyapkan nyawa orang yang meminumnya."
"Sedangkan, ayah adalah sosok yang hebat.","Sedangkan, ayah adalah sosok yang pengacau.",0,"Sedangkan, ayah saya adalah pahlawan yang bertugas menyelamatkan dunia."
"Sedangkan, ayah adalah sosok yang hebat.","Sedangkan, ayah adalah sosok yang pengacau.",1,"Sedangkan, ayah saya adalah kucing garong yang suka membuat keributan dan kerusakan."
"Kalau kakak saya, dia adalah sosok yang shalih.","Kalau kakak saya, dia adalah sosok yang pendosa.",0,"Kalau kakak saya, dia bagaikan nabi yang tidak pernah mengotori anggota tubuhnya dengan dosa."
"Kalau kakak saya, dia adalah sosok yang shalih.","Kalau kakak saya, dia adalah sosok yang pendosa.",1,"Kalau kakak saya, dia bagaikan iblis yang berwujud manusia."
Saudari perempuan saya lain lagi. Dia adalah cantik jelita.,Saudari perempuan saya lain lagi. Dia adalah buruk rupa.,0,Saudari perempuan saya lain lagi. Dia adalah kembang desa yang diperebutkan oleh kumbang-kumbang rupawan.
Saudari perempuan saya lain lagi. Dia adalah cantik jelita.,Saudari perempuan saya lain lagi. Dia adalah buruk rupa.,1,Saudari perempuan saya lain lagi. Dia adalah bunga bangkai yang membuatnya banyak dihinggapi lalat-lalat hijau.
"Semua anggota keluargaku sangat ajaib. Namun, tidak ada yang mengalahkan kakek. Dia adalah anak bangsawan.","Semua anggota keluargaku sangat ajaib. Namun, tidak ada yang mengalahkan kakek. Dia adalah anak yatim piatu.",0,"Semua anggota keluargaku sangat ajaib. Namun, tidak ada yang mengalahkan kakek. Dia adalah keturunan darah biru."
"Semua anggota keluargaku sangat ajaib. Namun, tidak ada yang mengalahkan kakek. Dia adalah anak bangsawan.","Semua anggota keluargaku sangat ajaib. Namun, tidak ada yang mengalahkan kakek. Dia adalah anak yatim piatu.",1,"Semua anggota keluargaku sangat ajaib. Namun, tidak ada yang mengalahkan kakek. Dia adalah terlahir sebatang kara."
Hidupku sangat unik karena susah dahulu baru bahagia.,Hidupku sangat unik karena bahagia selalu tak pernah susah.,0,Hidupku sangat unik bagaikan pelangi yang muncul setelah badai.
Hidupku sangat unik karena susah dahulu baru bahagia.,Hidupku sangat unik karena bahagia selalu tak pernah susah.,1,Hidupku sangat unik bagaikan pelangi yang hadir setiap saat.
Watik menghabiskan gajinya untuk membayar hutang.,Watik menghabiskan gajinya untuk menabung.,0,Watik menghabiskan gajinya untuk gali lobang tutup lobang.
Watik menghabiskan gajinya untuk membayar hutang.,Watik menghabiskan gajinya untuk menabung.,1,Watik menghabiskan gajinya untuk menggemukkan rekeningnya demi masa depan yang cerah.
Bunga cicilan di bank sangat tinggi.,Bunga cicilan di bank rendah.,0,Bunga cicilan di bank mencekik leher.
Bunga cicilan di bank sangat tinggi.,Bunga cicilan di bank rendah.,1,Bunga cicilan di bank meringankan langkah.
Tips untuk pemula yang ingin sukses sebelum usia 30 adalah hemat.,Tips untuk pemula yang ingin sukses sebelum usia 30 adalah boros.,0,Tips untuk pemula yang ingin sukses sebelum usia 30 adalah kencangkan ikat pinggang.
Tips untuk pemula yang ingin sukses sebelum usia 30 adalah hemat.,Tips untuk pemula yang ingin sukses sebelum usia 30 adalah boros.,1,Tips untuk pemula yang ingin sukses sebelum usia 30 adalah manjakan diri dengan menikmati senja di Labuan Bajo setiap akhir pekan.
"Sesekali bolehlah kita memberikan hadiah untuk diri sendiri yang sudah bekerja keras. Namun, jangan lupa bahwa uang itu tidak mudah habis didapatkan.","Sesekali bolehlah kita memberikan hadiah untuk diri sendiri yang sudah bekerja keras. Namun, jangan lupa bahwa uang itu bisa habis tidak bersisa didapatkan.",0,"Sesekali bolehlah kita memberikan hadiah untuk diri sendiri yang sudah bekerja keras. Namun, jangan lupa bahwa uang itu ibarat tumbuh dari pohon."
"Sesekali bolehlah kita memberikan hadiah untuk diri sendiri yang sudah bekerja keras. Namun, jangan lupa bahwa uang itu tidak mudah habis didapatkan.","Sesekali bolehlah kita memberikan hadiah untuk diri sendiri yang sudah bekerja keras. Namun, jangan lupa bahwa uang itu bisa habis tidak bersisa didapatkan.",1,"Sesekali bolehlah kita memberikan hadiah untuk diri sendiri yang sudah bekerja keras. Namun, jangan lupa bahwa uang itu ibarat air yang dituang ke tumpukan pasir."
Kamus Besar Bahasa Indonesia sangat tebal.,Kamus Besar Bahasa Indonesia biasa saja.,0,Kamus Besar Bahasa Indonesia setebal kasur.
Kamus Besar Bahasa Indonesia sangat tebal.,Kamus Besar Bahasa Indonesia biasa saja.,1,Kamus Besar Bahasa Indonesia setebal buku Sidu.
Kutukan di Candi Prambanan itu adalah kebenaran.,Kutukan di Candi Prambanan itu adalah mitos.,0,Kutukan di Candi Prambanan itu ibarat firman di kitab suci.
Kutukan di Candi Prambanan itu adalah kebenaran.,Kutukan di Candi Prambanan itu adalah mitos.,1,Kutukan di Candi Prambanan itu ibarat dongeng pengantar tidur.
Dia membeli saham yang jelek.,Dia membeli saham yang unggulan.,0,Dia membeli saham gorengan.
Dia membeli saham yang jelek.,Dia membeli saham yang unggulan.,1,Dia membeli saham lapis satu.
Ketika IHSG turun kita bisa beli banyak saham.,Ketika IHSG turun kita bisa jual saham.,0,Ketika IHSG turun kita bisa serok saham.
Ketika IHSG turun kita bisa beli banyak saham.,Ketika IHSG turun kita bisa jual saham.,1,Ketika IHSG turun kita bisa lepas saham.
Pastikan kamu mau beli dengan harga tertinggi untuk memastikan keuntunganmu bermain saham.,Pastikan kamu mau jual dengan harga terendah untuk memastikan keuntunganmu bermain saham.,0,Pastikan kamu mau hajar kanan untuk memastikan keuntunganmu bermain saham.
Pastikan kamu mau beli dengan harga tertinggi untuk memastikan keuntunganmu bermain saham.,Pastikan kamu mau jual dengan harga terendah untuk memastikan keuntunganmu bermain saham.,1,Pastikan kamu mau hajar kiri untuk memastikan keuntunganmu bermain saham.
Pekerjaannya sangat menyenangkan.,Pekerjaannya sangat membosankan.,0,Pekerjaannya seolah anak kecil yang dibebaskan di taman bermain.
Pekerjaannya sangat menyenangkan.,Pekerjaannya sangat membosankan.,1,Pekerjaannya seolah napi yang dikurung di penjara.
Melihat bakso urat dengan kuah kaldu yang pekat membuatku tergiur.,Melihat bakso urat dengan kuah kaldu yang pekat membuatku tidak tertarik.,0,Melihat bakso urat dengan kuah kaldu yang pekat membuatku meneteskan air liur.
Melihat bakso urat dengan kuah kaldu yang pekat membuatku tergiur.,Melihat bakso urat dengan kuah kaldu yang pekat membuatku tidak tertarik.,1,Melihat bakso urat dengan kuah kaldu yang pekat membuatku memalingkan wajah.
Berita tentang resesi 2023 sangat sering diberitakan.,Berita tentang resesi 2023 sangat jarang diberitakan.,0,Berita tentang resesi 2023 seolah jamur yang tumbuh di musim hujan.
Berita tentang resesi 2023 sangat sering diberitakan.,Berita tentang resesi 2023 sangat jarang diberitakan.,1,Berita tentang resesi 2023 seolah air di musim kemarau panjang.
Tingkah laku anak meniru orang lain.,Tingkah laku anak berbeda dengan orang lain.,0,"Ibarat guru kencing berdiri, murid kencing berlari, begitulah tingkah laku anak."
Tingkah laku anak meniru orang lain.,Tingkah laku anak berbeda dengan orang lain.,1,"Ibarat buah jatuh sangat jauh dari pohonnya, begitulah tingkah laku anak."
Yang aku rasakan saat ini adalah kesepian.,Yang aku rasakan saat ini adalah kebersamaan.,0,"Bayangkan kamu berada dalam hutan sendirian, itulah yang aku rasakan saat ini."
Yang aku rasakan saat ini adalah kesepian.,Yang aku rasakan saat ini adalah kebersamaan.,1,"Bayangkan bertamasya bersama keluarga, itulah yang aku rasakan saat ini."
Hidayat merasa hidupnya tanpa tujuan.,Hidayat merasa hidupnya memiliki tujuan yang jelas.,0,Hidayat merasa hidupnya seolah perahu yang terombang-ambing di lautan.
Hidayat merasa hidupnya tanpa tujuan.,Hidayat merasa hidupnya memiliki tujuan yang jelas.,1,Hidayat merasa hidupnya seolah perahu dengan nahkoda handal.
Semua yang pernah aku pelajari di sekolah tidak bermanfaat untuk diaplikasikan di dunia kerja.,Semua yang pernah aku pelajari di sekolah bermanfaat untuk diaplikasikan di dunia kerja.,0,Semua yang pernah aku pelajari di sekolah seolah tumpukan barang rongsok berdebu di sudut ruangan ketika aku masuk dunia kerja.
Semua yang pernah aku pelajari di sekolah tidak bermanfaat untuk diaplikasikan di dunia kerja.,Semua yang pernah aku pelajari di sekolah bermanfaat untuk diaplikasikan di dunia kerja.,1,Semua yang pernah aku pelajari di sekolah seolah buku langka di perpustakaan ketika aku masuk dunia kerja.
Pasangan ideal bagiku itu adalah salah satu ada yang lebih tinggi dari yang lain.,Pasangan ideal bagiku itu adalah setara.,0,Pasangan ideal bagiku itu seperti majikan dengan pembantunya.
Pasangan ideal bagiku itu adalah salah satu ada yang lebih tinggi dari yang lain.,Pasangan ideal bagiku itu adalah setara.,1,Pasangan ideal bagiku itu seperti partner hidup.
Universitas tempatku berkuliah itu adalah gudangnya berwawasan luas.,Universitas tempatku berkuliah itu adalah gudangnya picik.,0,Universitas tempatku berkuliah itu adalah gudangnya pemenang kompetisi nasional dan internasional.
Universitas tempatku berkuliah itu adalah gudangnya berwawasan luas.,Universitas tempatku berkuliah itu adalah gudangnya picik.,1,Universitas tempatku berkuliah itu adalah gudangnya katak dalam tempurung.
"Jika diamati, wajahnya cantik dan indah.","Jika diamati, wajahnya buruk, dari segi teksturnya.",0,"Jika diamati, wajahnya seperti bintang di langit malam."
"Jika diamati, wajahnya cantik dan indah.","Jika diamati, wajahnya buruk, dari segi teksturnya.",1,"Jika diamati, wajahnya seperti bulan dari dekat."
Kecepatannya dalam menyerap materi sangat lambat.,Kecepatannya dalam menyerap materi sangat cepat.,0,Kecepatannya dalam menyerap materi seperti kura-kura berjalan.
Kecepatannya dalam menyerap materi sangat lambat.,Kecepatannya dalam menyerap materi sangat cepat.,1,Kecepatannya dalam menyerap materi seperti kancil yang berlari.
Orang-orang menganggap kehadirannya di sekolah dengan kagum.,Orang-orang menganggap kehadirannya di sekolah dengan jijik.,0,Orang-orang menganggap kehadirannya di sekolah seperti bintang.
Orang-orang menganggap kehadirannya di sekolah dengan kagum.,Orang-orang menganggap kehadirannya di sekolah dengan jijik.,1,Orang-orang menganggap kehadirannya di sekolah seperti orang pesakitan.
Rapornya penuh nilai jelek.,Rapornya penuh nilai bagus.,0,Rapornya penuh dengan tinta merah.
Rapornya penuh nilai jelek.,Rapornya penuh nilai bagus.,1,Rapornya penuh dengan tinta hitam.
Cita-citanya sangat tinggi.,Cita-citanya sangat rendah.,0,Cita-citanya ternyata setinggi langit.
Cita-citanya sangat tinggi.,Cita-citanya sangat rendah.,1,Cita-citanya ternyata setinggi daun kelor.
Pendapatannya semasa pandemi macet.,Pendapatannya semasa pandemi melimpah.,0,Pendapatannya semasa pandemi seperti saluran mampet.
Pendapatannya semasa pandemi macet.,Pendapatannya semasa pandemi melimpah.,1,Pendapatannya semasa pandemi seperti air terjun.
Hati manusia berisi niat baik.,Hati manusia niat jahat.,0,Hati manusia kadang seperti catatan putih.
Hati manusia berisi niat baik.,Hati manusia niat jahat.,1,Hati manusia kadang seperti catatan hitam.
Moodnya hari ini ceria.,Moodnya hari ini suram.,0,Moodnya hari ini secerah mentari.
Moodnya hari ini ceria.,Moodnya hari ini suram.,1,Moodnya hari ini ditimpa badai.
Jurnal akademisnya kuat argumennya.,Jurnal akademisnya lemah argumennya.,0,Jurnal akademisnya seperti pisau tajam.
Jurnal akademisnya kuat argumennya.,Jurnal akademisnya lemah argumennya.,1,Jurnal akademisnya seperti pisau tumpul.
Nasihat dari gurunya bermakna.,Nasihat dari gurunya tidak bermakna.,0,Nasihat dari gurunya bagaikan permata.
Nasihat dari gurunya bermakna.,Nasihat dari gurunya tidak bermakna.,1,Nasihat dari gurunya bagaikan batu kali.
Baginya harga mobil sangat murah.,Baginya harga mobil sangat mahal.,0,Baginya harga mobil seharga gorengan.
Baginya harga mobil sangat murah.,Baginya harga mobil sangat mahal.,1,Baginya harga mobil seharga nyawa.
Setelah banyak kejadian yang menimpa mentalnya kuat.,Setelah banyak kejadian yang menimpa mentalnya lemah.,0,"Setelah banyak kejadian yang menimpa, mentalnya seperti batu karang."
Setelah banyak kejadian yang menimpa mentalnya kuat.,Setelah banyak kejadian yang menimpa mentalnya lemah.,1,"Setelah banyak kejadian yang menimpa, mentalnya seperti agar-agar."
Hari ini dia dapat rezeki sangat banyak.,Hari ini dia dapat rezeki sangat sedikit.,0,Hari ini dia dapat rezeki bak durian runtuh.
Hari ini dia dapat rezeki sangat banyak.,Hari ini dia dapat rezeki sangat sedikit.,1,Hari ini dia dapat rezeki bak nasi sisa.
Orang itu punya sifat jahat.,Orang itu punya sifat baik.,0,Orang itu punya sifat seperti setan.
Orang itu punya sifat jahat.,Orang itu punya sifat baik.,1,Orang itu punya sifat seperti malaikat.
Ucapannya banyak manfaat.,Ucapannya tidak ada manfaat.,0,Ucapannya bak padi merunduk.
Ucapannya banyak manfaat.,Ucapannya tidak ada manfaat.,1,Ucapannya bak tong kosong.
Tulisan tangannya buruk.,Tulisan tangannya indah.,0,Bentuk tulisan tangannya seperti cakar ayam.
Tulisan tangannya buruk.,Tulisan tangannya indah.,1,Bentuk tulisan tangannya seperti lukisan.
Cuaca kota ini sejuk.,Cuaca kota ini panas.,0,Cuaca kota ini seperti surga.
Cuaca kota ini sejuk.,Cuaca kota ini panas.,1,Cuaca kota ini seperti neraka.
Porsi makannya banyak.,Porsi makannya sedikit.,0,Porsi makannya seperti kuli bangunan.
Porsi makannya banyak.,Porsi makannya sedikit.,1,Porsi makannya seperti gadis rumahan.
Penjahat itu masuk kaegori berat.,Penjahat itu masuk kaegori ringan.,0,Penjahat itu masuk kategori kelas kakap.
Penjahat itu masuk kaegori berat.,Penjahat itu masuk kaegori ringan.,1,Penjahat itu masuk kategori kelas teri.
Dia punya spek hp sangat buruk.,Dia punya spek hp sangat bagus.,0,Dia punya spek hp kentang.
Dia punya spek hp sangat buruk.,Dia punya spek hp sangat bagus.,1,Dia punya spek hp dewa.
Mesinnya bertenaga sangat kuat.,Mesinnya bertenaga lemah.,0,Mesinnya bertenaga kuda.
Mesinnya bertenaga sangat kuat.,Mesinnya bertenaga lemah.,1,Mesinnya bertenaga keledai.
Suaranya saat bernyanyi merdu.,Suaranya saat bernyanyi sumbang.,0,Suaranya saat bernyanyi seperti burung kenari.
Suaranya saat bernyanyi merdu.,Suaranya saat bernyanyi sumbang.,1,Suaranya saat bernyanyi seperti burung beo.
Rasa cintanya terlihat.,Rasa cintanya tersembunyi.,0,Rasa cintanya bagai api yang membara.
Rasa cintanya terlihat.,Rasa cintanya tersembunyi.,1,Rasa cintanya bagai api dalam sekam.
Jalan kehidupannya penuh rintangan.,Jalan kehidupannya mulus.,0,Jalan kehidupannya seperti sinetron.
Jalan kehidupannya penuh rintangan.,Jalan kehidupannya mulus.,1,Jalan kehidupannya seperti jalan tol.
Di kantor tugasnya memerintah.,Di kantor tugasnya diperintah.,0,"Di kantor, tugasnya menjadi seorang raja."
Di kantor tugasnya memerintah.,Di kantor tugasnya diperintah.,1,"Di kantor, tugasnya menjadi seorang pelayan."
Komplek perkantoran itu ramai.,Komplek perkantoran itu sepi.,0,Komplek perkantoran itu seperti tempat hiburan.
Komplek perkantoran itu ramai.,Komplek perkantoran itu sepi.,1,Komplek perkantoran itu seperti rumah kosong.
Sekarang situasinya rumit.,Sekarang situasinya terkendali.,0,Sekarang situasinya seperti benang kusut.
Sekarang situasinya rumit.,Sekarang situasinya terkendali.,1,Sekarang situasinya seperti tenunan benang.
Koleksi bukunya sudah lengkap.,Koleksi bukunya sudah bolong-bolong.,0,Koleksi bukunya sudah seperti museum.
Koleksi bukunya sudah lengkap.,Koleksi bukunya sudah bolong-bolong.,1,Koleksi bukunya sudah seperti toko kelontong.
Berita itu datang mengangetkan.,Berita itu datang dengan tenang.,0,Berita itu datang seperti angin badai.
Berita itu datang mengangetkan.,Berita itu datang dengan tenang.,1,Berita itu datang seperti angin sepoi-sepoi.
Baginya pekerjaan itu sulit.,Baginya pekerjaan itu mudah.,0,Baginya pekerjaan itu bagaikan membanting tulang.
Baginya pekerjaan itu sulit.,Baginya pekerjaan itu mudah.,1,Baginya pekerjaan itu bagaikan menjentikkan jari.
Dia tidur kadang-kadang sulit dibangunkan.,Dia tidur kadang-kadang mudah terbangun.,0,Dia tidur kadang-kadang seperti batang pohon.
Dia tidur kadang-kadang sulit dibangunkan.,Dia tidur kadang-kadang mudah terbangun.,1,Dia tidur kadang-kadang seperti ayam.
Dari dulu sifatnya seperti tidak tahu malu.,Dari dulu sifatnya seperti pemalu.,0,Dari dulu sifatnya seperti kulit badak.
Dari dulu sifatnya seperti tidak tahu malu.,Dari dulu sifatnya seperti pemalu.,1,Dari dulu sifatnya seperti putri malu.
Kapasitasnya berpikir bodoh.,Kapasitasnya berpikir pintar.,0,Kapasitasnya berpikir setara otak udang.
Kapasitasnya berpikir bodoh.,Kapasitasnya berpikir pintar.,1,Kapasitasnya berpikir setara komputer.
"Akibat ucapan orang tuanya, hatinya luluh.","Akibat ucapan orang tuanya, hatinya marah.",0,"Akibat ucapan orang tuanya, hatinya seperti es yang meleleh."
"Akibat ucapan orang tuanya, hatinya luluh.","Akibat ucapan orang tuanya, hatinya marah.",1,"Akibat ucapan orang tuanya, hatinya seperti api yang disiram minyak."
Kamarnya berantakan.,Kamarnya rapih atau indah.,0,Kamarnya seperti kapal pecah.
Kamarnya berantakan.,Kamarnya rapih atau indah.,1,Kamarnya seperti istana.
Dokumen yang dia berikan buruk.,Dokumen yang dia berikan bagus.,0,Dokumen yang dia berikan seperti hasil pekerjaan anak TK.
Dokumen yang dia berikan buruk.,Dokumen yang dia berikan bagus.,1,Dokumen yang dia berikan seperti hasil pekerjaan pemenang Nobel.
Dia dan temannya kompak.,Dia dan temannya tidak akur.,0,Dia dan temannya seperti sepasang sepatu.
Dia dan temannya kompak.,Dia dan temannya tidak akur.,1,Dia dan temannya seperti kucing dan anjing.
Kesabarannya masih banyak.,Kesabarannya sudah sedikit.,0,Kesabarannya sekarang sebesar samudra.
Kesabarannya masih banyak.,Kesabarannya sudah sedikit.,1,Kesabarannya sekarang sebesar kertas.
"Melihat kejadian tersebut, wajahnya merona.","Melihat kejadian tersebut, wajahnya pucat pasi.",0,"Melihat kejadian tersebut, wajahnya seperti tomat."
"Melihat kejadian tersebut, wajahnya merona.","Melihat kejadian tersebut, wajahnya pucat pasi.",1,"Melihat kejadian tersebut, wajahnya seperti mayat."
Ingatan ayahnya buram.,Ingatan ayahnya jelas.,0,Ingatan ayahnya seperti besi berkarat.
Ingatan ayahnya buram.,Ingatan ayahnya jelas.,1,Ingatan ayahnya seperti alat perekam.
Antrian tiketnya panjang.,Antrian tiketnya tidak ada.,0,Antrian tiketnya seperti ular.
Antrian tiketnya panjang.,Antrian tiketnya tidak ada.,1,Antrian tiketnya seperti bank di hari minggu.
Niat rencananya baik.,Niat rencananya buruk.,0,Niat rencananya tercium harum.
Niat rencananya baik.,Niat rencananya buruk.,1,Niat rencananya tercium busuk.
Dia punya mental kuat.,Dia punya mental lemah.,0,Dia punya mental baja.
Dia punya mental kuat.,Dia punya mental lemah.,1,Dia punya mental tempe.
"Gerakan tariannya indah, lincah.",Gerakan tariannya kaku.,0,Gerakan tariannya seperti angsa.
"Gerakan tariannya indah, lincah.",Gerakan tariannya kaku.,1,Gerakan tariannya seperti robot.
Pola tidurnya berantakan.,Pola tidurnya rapi.,0,Pola tidurnya seperti kalong.
Pola tidurnya berantakan.,Pola tidurnya rapi.,1,Pola tidurnya seperti anak sekolahan.
Kadangkala cuaca di Bekasi panas.,Kadangkala cuaca di Bekasi dingin.,0,Kadangkala cuaca di Bekasi seperti gurun di Sahara.
Kadangkala cuaca di Bekasi panas.,Kadangkala cuaca di Bekasi dingin.,1,Kadangkala cuaca di Bekasi seperti salju di Antartika.
Tindakannya memperburuk keadaan.,Tindakannya meringankan keadaan.,0,Tindakannya seperti menabur garam di atas luka.
Tindakannya memperburuk keadaan.,Tindakannya meringankan keadaan.,1,Tindakannya seperti memberi minum para musafir.
Pikiran dan pikiran temannya saling melengkapi.,Pikiran dan pikiran temannya tidak nyambung.,0,Pikirannya dan pikiran temannya seperti roti dan mentega.
Pikiran dan pikiran temannya saling melengkapi.,Pikiran dan pikiran temannya tidak nyambung.,1,Pikirannya dan pikiran temannya seperti kecap dan kopi.
Proposalnya dapat persetujuan.,Proposalnya dapat penolakan.,0,Proposalnya dapat lampu hijau.
Proposalnya dapat persetujuan.,Proposalnya dapat penolakan.,1,Proposalnya dapat lampu merah.
"Bagi sang ibu, anaknya mudah ditebak.","Bagi sang ibu, anaknya sulit ditebak.",0,"Bagi sang ibu, anaknya adalah buku yang terbuka."
"Bagi sang ibu, anaknya mudah ditebak.","Bagi sang ibu, anaknya sulit ditebak.",1,"Bagi sang ibu, anaknya adalah buku yang tertutup."
Dia berbelanja tanpa pikir panjang dan foya-foya.,Dia berbelanja penuh perhitungan.,0,Dia berbelanja seperti tidak ada hari esok.
Dia berbelanja tanpa pikir panjang dan foya-foya.,Dia berbelanja penuh perhitungan.,1,Dia berbelanja seperti akan hidup selamanya.
Sikapnya angkuh.,Sikapnya rendah diri.,0,Lagaknya seperti anak sultan.
Sikapnya angkuh.,Sikapnya rendah diri.,1,Lagaknya seperti anak petani.
Kehadiranmu bagiku menyenangkan.,Kehadiranmu bagiku menyebalkan.,0,Kehadiranmu bagiku bagaikan meneguk es di siang hari.
Kehadiranmu bagiku menyenangkan.,Kehadiranmu bagiku menyebalkan.,1,Kehadiranmu bagiku bagaikan menghirup asap knalpot di siang hari.
Kulitnya berpori-pori besar dan bertekstur.,Kulitnya mulus bercahaya.,0,Kulitnya seperti jalan kerikil.
Kulitnya berpori-pori besar dan bertekstur.,Kulitnya mulus bercahaya.,1,Kulitnya seperti kristal.
Sikapnya padaku ramah.,Sikapnya padaku jutek.,0,Sikapnya padaku seperti matahari pagi.
Sikapnya padaku ramah.,Sikapnya padaku jutek.,1,Sikapnya padaku seperti es di kutub selatan.
Tulisan tangannya berantakan.,Tulisan tangannya rapi.,0,Tulisan tangannya bagaikan milik dokter.
Tulisan tangannya berantakan.,Tulisan tangannya rapi.,1,Tulisan tangannya bagaikan milik mesin cetak.
