ending1,ending2,startphrase,labels
Mbak Siti mbagi wektune teratur,Mbak Siti mbagi wektune ora teratur,Mbak Siti mbagi wektune kaya macet kenderaan ing ibu kota,1
Yen nyuarake panemune banter,Yen nyuarake panemune ora banter,Yen nyuarake panemune kaya nggeroman macan,0
Yen nyuarake panemune banter,Yen nyuarake panemune ora banter,Yen nyuarake panemune kaya buntut tikus sing kecepit ing lawang,1
Gedhe,cilik,Ukuran awak bocah iku kaya gajah,0
Gedhe,cilik,Ukuran awak bocah iku kaya semut,1
Rambute bocah iku Lembut,Rambute bocah iku kaku,Rambute bocah iku kaya kain sutra,0
Rambute bocah iku Lembut,Rambute bocah iku kaku,Rambute bocah iku kaya sapu aren,1
Kekancan kita kuat,Kekancan kita rapuh,Kekancan kita ibarat rante,0
Kekancan kita kuat,Kekancan kita rapuh,Kekancan kita ibarat kayu padat sing kerep kena banyu,1
Tresnaku marang sliramu jeru,Tresnaku marang sliramu cethek,Tresnaku marang sliramu sejeroning samudra Hindia,0
Tresnaku marang sliramu jeru,Tresnaku marang sliramu cethek,Tresnaku marang sliramu jerone kaya kolam bocah,1
Mlayune cepet,Mlayune alon,Mlayune kaya macan tutul nguber mangsane,0
Mlayune cepet,Mlayune alon,Mlayune kaya keong kebon,1
Awake gedi,Awake dowo kuru,Awake kaya bal basket,0
Awake gedi,Awake dowo kuru,Awake kaya cagak daya,1
Anake pasangan kuwi akeh banget nganti akeh,Anake pasangan kuwi akeh banget nganti sithik,Anake pasangan kuwi kaya cacahe anggota pemaine sepak bola,0
Anake pasangan kuwi akeh banget nganti akeh,Anake pasangan kuwi akeh banget nganti sithik,Anake pasangan kuwi kaya cacahing wiji rambutan,1
Adikku yen ndek omah cerewet,Adikku yen ndek omah gak enek suarane,Adikku yen ndek omah kaya manuk beo,0
Adikku yen ndek omah cerewet,Adikku yen ndek omah gak enek suarane,Adikku yen ndek omah kaya wong loro untu,1
Uripe bocah kuwi bebas,Uripe bocah kuwi dikekang,Uripe bocah kuwi kaya manuk sing mabur bebas ing langit,0
Uripe bocah kuwi bebas,Uripe bocah kuwi dikekang,Uripe bocah kuwi kaya manuk ing kandhang,1
Omongan tanggaku perih,Omongan tanggaku nyenengne,Omongan tanggaku kaya driji kenek peso sing landhep,0
Omongan tanggaku perih,Omongan tanggaku nyenengne,Omongan tanggaku kaya teh sing diombe yen udan,1
Kendaraane mlaku cepet,Kendaraane mlaku alon,Kendaraane mlaku kaya angin,0
Kendaraane mlaku cepet,Kendaraane mlaku alon,Kendaraane mlaku kaya macan luwe,1
Wong wedok iku sregep,Wong wedok iku males,Wong wedok iku kaya polahe semut,0
Wong wedok iku sregep,Wong wedok iku males,Wong wedok iku kaya polahe kebo,1
Yen nggawakne oleh-oleh abot,Yen nggawakne oleh-oleh entheng,Yen nggawakne oleh-oleh kaya abote watu,0
Yen nggawakne oleh-oleh abot,Yen nggawakne oleh-oleh entheng,Yen nggawakne oleh-oleh kaya entheng kapas,1
Hubungan katresnan kita romantis,Hubungan katresnan kita tukaran wae,Hubungan katresnan kita kaya crita Romeo lan Juliet,0
Hubungan katresnan kita romantis,Hubungan katresnan kita tukaran wae,Hubungan katresnan kita kaya asu lan kucing,1
Raine koncoku mulus,Raine koncoku kasar,Raine koncoku kaya aspal dalan gedhe,0
Raine koncoku mulus,Raine koncoku kasar,Raine koncoku kaya dalane deso ora roto akeh krikile,1
Hubungan seduluranku karo mbakyuku pasti mbutuhne,Hubungan seduluranku karo mbakyuku gak iso nyatu,Hubungan seduluranku karo mbakyuku iku ibarat manungsa karo oksigen,0
Hubungan seduluranku karo mbakyuku pasti mbutuhne,Hubungan seduluranku karo mbakyuku gak iso nyatu,Hubungan seduluranku karo mbakyuku iku ibarat banyu lan lengo,1
Dalan-dalan ing desaku lampune padhang,Dalan-dalan ing desaku lampune remang-remang,Dalan-dalan ing desaku lampune kaya ing pasar malam,0
Dalan-dalan ing desaku lampune padhang,Dalan-dalan ing desaku lampune remang-remang,Dalan-dalan ing desaku lampune kaya ing warung-warunge cah enom,1
Bapake koncoku iku gagah,Bapake koncoku iku medeni,Bapake koncoku iku kaya raden werkudara,0
Bapake koncoku iku gagah,Bapake koncoku iku medeni,Bapake koncoku iku kaya buto ijo,1
Bapak tirine sifat apik,Bapak tirine sifat jahat,Bapak tirine sifate kaya Gatot Kaca,0
Bapak tirine sifat apik,Bapak tirine sifat jahat,Bapak tirine sifate kaya Sengkuni,1
"Nalika ngawasi ujian, pandelenge guru iku fokus ngamati muride","Nalika ngawasi ujian, pandelenge guru iku ora fokus mergo ngantuk","Nalika ngawasi ujian, pandelenge guru iku kaya manuk garudha ngarah mangsane",0
"Nalika ngawasi ujian, pandelenge guru iku fokus ngamati muride","Nalika ngawasi ujian, pandelenge guru iku ora fokus mergo ngantuk","Nalika ngawasi ujian, pandelenge guru iku kaya bocah cilik ditembangake",1
Masku nalika ngumbara tetep ileng lan balik ana asale,Masku nalika ngumbara lali karo asale,Masku nalika ngumbara kaya kebo seng ileng mulih menyang kandhange,0
Masku nalika ngumbara tetep ileng lan balik ana asale,Masku nalika ngumbara lali karo asale,Masku nalika ngumbara kaya kacang lali karo kulitnya,1
"Wong kuwi sifate Nggambarake wong saka kelas ngisor, nanging sugih ing kawruh",Wong kuwi sifate wong sing akeh omong nanging ora gelem nyambut gawe lan kemeruh,Wong kuwi sifate kaya bathok bolu isi madu,0
"Wong kuwi sifate Nggambarake wong saka kelas ngisor, nanging sugih ing kawruh",Wong kuwi sifate wong sing akeh omong nanging ora gelem nyambut gawe lan kemeruh,Wong kuwi sifate kaya drum kosong menehi swara banter,1
Dheweke nek nari luwes,Dheweke nek nari kaku,Dheweke nek nari kaya ombak ular-ular.,0
Dheweke nek nari luwes,Dheweke nek nari kaku,Dheweke nek nari kaya robot diuripake bateraine,1
Aku lan kowe kembar,Aku lan kowe bedho,Aku lan kowe kaya pinang dibelah loro,0
Aku lan kowe kembar,Aku lan kowe bedho,Aku lan kowe kaya awan lan wengi,1
Dheweke mlumpat dhuwur banget,Dheweke mlumpat cendhek,Dheweke mlumpat kaya kangguru,0
Dheweke mlumpat dhuwur banget,Dheweke mlumpat cendhek,Dheweke mlumpat kaya kelinci,1
Awake panas,Awake adem,Awake kaya inti bumi,0
Awake panas,Awake adem,Awake kaya es batu,1
Atine mantep lan kuat,Atine iso rapuh lan gampang pecah.,Atine ibarat watu sing ora bakal goyah senajan kahalang ombak gedhe,0
Atine mantep lan kuat,Atine iso rapuh lan gampang pecah.,Atine ibarat koco,1
Roke mbak Ayu dowone cekak,Roke mbak Ayu dowone landhung,Roke mbak Ayu dowone kaya telung kilan,0
Roke mbak Ayu dowone cekak,Roke mbak Ayu dowone landhung,Roke mbak Ayu dowone kaya nyapu dalan,1
Perasaane bungah,Perasaane susah,Perasaane wong lanang iku dijodohne tonggone dewe kaya ketiban duren,0
Perasaane bungah,Perasaane susah,Perasaane wong lanang iku dijodohne tonggone dewe kaya ketiban ondo,1
Kamare mas Andi kemproh,Kamare mas Andi resikan,Kamare mas Andi kaya kandang kewan,0
Kamare mas Andi kemproh,Kamare mas Andi resikan,Kamare mas Andi kaya kamar hotel,1
Udane deres,Udane gerimis,Udan awan ini kaya banyu langsung diguyur soko dhuwur,0
Udane deres,Udane gerimis,Udan awan ini kaya sitok-sitok banyune jeblok,1
Semangate mempeng,Semangate kesed,Semangate urip wong kuwi ibarat terus ngibadah ngiro urip muk sampe sesok,0
Semangate mempeng,Semangate kesed,Semangate urip wong kuwi ibarat enthong mlungker ndek njero godhong gedhang,1
Wong lanang iku nemui bapake pacare kendhel,Wong lanang iku nemui bapake pacare jireh,Wong lanang iku nemui bapake pacare kaya Werkudhara,0
Wong lanang iku nemui bapake pacare kendhel,Wong lanang iku nemui bapake pacare jireh,Wong lanang iku nemui bapake pacare kaya Petruk,1
Susune cuwer,Susune kenthel,Nek gaekne susu nggo anake kaya banyu,0
Susune cuwer,Susune kenthel,Nek gaekne susu nggo anake kaya santen soko kambil tuwek,1
blangko,goroh,Areke nek gae janji kaya merpati,0
blangko,goroh,Areke nek gae janji kaya ndelok gajah numpak becak,1
sugih,mlarat,Bondone wong tuane ibarat pitung turunan gak entek-entek,0
sugih,mlarat,Bondone wong tuane ibarat muk klambi lan kathok ndek awak,1
gemi,ngebreh,Cah enom mburi omahku kuwi yen ngetokne duwit dipikir kanggone,0
gemi,ngebreh,Cah enom mburi omahku kuwi ngentek-ngentekne duwit,1
Nek gae alasan aneh,Nek gae alasan lumrah,Nek gae alasan kaya ketemu setan awan-awan,0
Nek gae alasan aneh,Nek gae alasan lumrah,Nek gae alasan kaya wong kesel mergo sedinoan nyambut gae,1
Bocah-bocah kuwi polahe antheng,Bocah-bocah kuwi polahe ronggeh,Bocah-bocah kuwi polahe kaya wong manten disandingne,0
Bocah-bocah kuwi polahe antheng,Bocah-bocah kuwi polahe ronggeh,Bocah-bocah kuwi polahe kaya wong ndek pasar,1
angel,gampang,Mbiyen bapakku ngluluhne atine ibukku kaya golek dom ndek tengah jerami,0
angel,gampang,Mbiyen bapakku ngluluhne atine ibukku kaya numpak motor metik ra sah mlebu gigi nek ditumpaki,1
Mbakyuku nek ngekei klambi anyar,Mbakyuku nek ngekei klambi lawas,Mbakyuku nek ngekei klambi kaya buka plastik soko toko,0
Mbakyuku nek ngekei klambi anyar,Mbakyuku nek ngekei klambi lawas,Mbakyuku nek ngekei klambi kaya wes nate digae,1
Banyune jeding bening,Banyune jeding buthek,Banyune jeding kaya sendhang ndek kali,0
Banyune jeding bening,Banyune jeding buthek,Banyune jeding kaya banyu kopi,1
Watake masku kasar,Watake masku alus,Watake masku kaya parutan,0
Watake masku kasar,Watake masku alus,Watake masku kaya kulit bayi,1
Atine Ani jembar,Atine Ani ciyut,Atine Ani seperti ambane segoro,0
Atine Ani jembar,Atine Ani ciyut,Atine Ani seperti ambane gang,1
Budheku wonge cethil,Budheku wonge lumo,Budheku wonge ibarat blonjo susuk seked ripis mesti dijaluk maneh,0
Budheku wonge cethil,Budheku wonge lumo,Budheku wonge ibarat wong seng ra eman bondho seneng ngekei wong-wong ra nduwe,1
Dalane ngarep omah jemek,Dalane ngarep omah kesed,Dalane ngarep omah kaya gulo jowo kenek banyu,0
Dalane ngarep omah jemek,Dalane ngarep omah kesed,Dalane ngarep omah kaya koco dilap kain teles,1
Nek nduwe cita-cita duwur banget,Nek nduwe cita-cita ora duwur ( biasa-biasa ae,Nek nduwe cita-cita sakduwur langit,0
Nek nduwe cita-cita duwur banget,Nek nduwe cita-cita ora duwur ( biasa-biasa ae,Nek nduwe cita-cita sakduwur cagak listrik,1
Lemari neng njero omahe gedhi,Lemari neng njero omahe cilik,Lemari neng njero omahe sakgede lapangan bal-balan,0
Lemari neng njero omahe gedhi,Lemari neng njero omahe cilik,Lemari neng njero omahe sakgede kerdus mie,1
Dadi guru saiki iku ibarat soro,Dadi guru saiki iku ibarat penak,Dadi guru saiki iku ibarat mlaku munggah gunung,0
Dadi guru saiki iku ibarat soro,Dadi guru saiki iku ibarat penak,Dadi guru saiki iku ibarat mlaku-mlaku santai,1
Sakpeduluran iku podo nyedak,Sakpeduluran iku podo ngadoh,Sakpeduluran iku podo koyo pitik nek dipyuri beras,0
Sakpeduluran iku podo nyedak,Sakpeduluran iku podo ngadoh,Sakpeduluran iku podo koyo semut kenek srengenge matahari,1
Lampu ndek omahe padhang,Lampu ndek omahe peteng,Lampu ndek omahe kaya wong nduwe tanggapan,0
Lampu ndek omahe padhang,Lampu ndek omahe peteng,Lampu ndek omahe kaya dalanan kuburan,1
Soale ujian gampang,Soale ujian angel,Soale ujian dikerjakne ibarat ditingal merem entuk satus,0
Soale ujian gampang,Soale ujian angel,Soale ujian dikerjakne ibarat nglebokne benang wengi-wengi,1
Irunge bangir,Irunge pesek,Irunge iso dicenteli panci,0
Irunge bangir,Irunge pesek,Irunge dicantoli koco moto mlorot terus,1
Usahane mandheg,Usahane mlaku,Usahane kaya numpak motor kene lampu abang ndek prapatan,0
Usahane mandheg,Usahane mlaku,Usahane kaya numpak motor kene lampu ijo,1
Warna kulite ireng,Warna kulite putih,Warna kulite kaya woh juwet,0
Warna kulite ireng,Warna kulite putih,Warna kulite kaya susu,1
Awake lemu,Awake kuru,Awake gedhine sakdrum,0
Awake lemu,Awake kuru,Awake gedhine sak cagak omah,1
Bocah kuwi saen,Bocah kuwi isinan,Bocah kuwi nek enek wong anyar kaya wani maju kenalan dewe,0
Bocah kuwi saen,Bocah kuwi isinan,Bocah kuwi nek enek wong anyar kaya ndelik ra wani metu,1
Awake kuat,Awake ringkeh,Awake kaya gathot koco,0
Awake kuat,Awake ringkeh,Awake kaya wong loro,1
Hawane saiki sumuk,Hawane saiki isis,Hawane saiki kaya gae jaket rangkep limo,0
Hawane saiki sumuk,Hawane saiki isis,Hawane saiki kaya dikipasi wong sepuluh,1
Warna rambute putih,Warna rambute ireng,Warnane rambute kaya kembang jambu,0
Warna rambute putih,Warna rambute ireng,Warnane rambute kaya areng,1
Bapake sibuk banget,Bapake ora sibuk,Bapake kaya pejabat penting,0
Bapake sibuk banget,Bapake ora sibuk,Bapake kaya wong ra nduwe penggawean,1
Kerjane kuat,Kerjane lemah,Kerjane kaya mesin seng gak pernah mati,0
Kerjane kuat,Kerjane lemah,Kerjane kaya jam kentekkan baterai,1
Awake dewe sering bareng,Awake dewe tukaran,Awake dewe kaya payung lan udan,0
Awake dewe sering bareng,Awake dewe tukaran,Awake dewe kaya kucing karo asu.,1
Guyonane lucu,Guyonane garing,Guyunanne kaya badut lagek atraksi,0
Guyonane lucu,Guyonane garing,Guyunanne kaya ghodhong wes kuning,1
Pas wonge milih lungo soko uripku rasane susah,Pas wonge milih lungo soko uripku rasane bungah,Pas wonge milih lungo soko uripku rasane kaya kiamat,0
Pas wonge milih lungo soko uripku rasane susah,Pas wonge milih lungo soko uripku rasane bungah,Pas wonge milih lungo soko uripku rasane kaya entuk duwit 100 milyar,1
Wajahe sumringah,Wajahe pucet,Raut wajahe kaya kembang ndek taman seng mekar,0
Wajahe sumringah,Wajahe pucet,Raut wajahe kaya kembang layu,1
Senyumane manis,Senyumane kecut,Senyume kaya gula jawa,0
Senyumane manis,Senyumane kecut,Senyume kaya pencit,1
Suarane pak Budi medeni,Suarane pak Budi alus,Suarane pak Budi kaya singo ngaum ndek jero alas,0
Suarane pak Budi medeni,Suarane pak Budi alus,Suarane pak Budi kaya bocah ngaji,1
Ilmune dangkal,Ilmune luas,Ilmune wong kuwi ibarat banyu sing ombak ora jero,0
Ilmune dangkal,Ilmune luas,Ilmune wong kuwi ibarat ombone segoro,1
Klambine wangi,Klambine mambu,Klambine sewangi kembang melati,0
Klambine wangi,Klambine mambu,Klambine sewangi kringet,1
Keteguhane ngadepi kenyataan kuat,Keteguhane ngadepi kenyataan rapuh,Keteguhane ngadepi kenyataan kaya watu karang,0
Keteguhane ngadepi kenyataan kuat,Keteguhane ngadepi kenyataan rapuh,Keteguhane ngadepi kenyataan kaya krupuk,1
Jidate ombo,Jidate ciut,Jidate kaya lapangan bal-balan,0
Jidate ombo,Jidate ciut,Jidate kaya kulit kacang seng mengkeret,1
Ganang yen nesu ngamuk bengok-bengok,Ganang yen nesu meneng ae,Ganang yen nesu kaya macan ngamuk,0
Ganang yen nesu ngamuk bengok-bengok,Ganang yen nesu meneng ae,Ganang yen nesu kaya patung,1
Nek ngguyu banter tur mlengking,Nek ngguyu diempet,Nek ngguyu kaya mak lampir,0
Nek ngguyu banter tur mlengking,Nek ngguyu diempet,Nek ngguyu kaya kebelet,1
Wedhange pahit,Wedhange manis,Wedhange kaya obat loro untu,0
Wedhange pahit,Wedhange manis,Wedhange kaya kolak gedhang,1
Nek mangan akeh,Nek mangan sithik,Nek mangan ngentekne sego sakwakul,0
Nek mangan akeh,Nek mangan sithik,Nek mangan muk pirang pulukan,1
Awake kuat,Awake ringkih,Awake kaya gedung duwur,0
Awake kuat,Awake ringkih,Awake kaya kripik,1
