ending1,ending2,startphrase,labels
Nalika ditanya manehna nyarios,Nalika ditanya manehna pura-pura teu terang.,Nalika ditanya manehna nutup panon.,1
Di dunya ieu aya jalma anu baik pisan,Di dunya ieu aya jalma anu jahat pisan.,Di dunya ieu aya jalma anu sarupa malaikat,0
Di dunya ieu aya jalma anu baik pisan,Di dunya ieu aya jalma anu jahat pisan.,Di dunya ieu aya jalma anu sarupa setan.,1
Kadaharan eta réstoran karasaeun sapertos masakan di lezat,Kadaharan eta réstoran karasaeun sapertos masakan di teu karasa nanaon.,Kadaharan eta réstoran karasaeun sapertos masakan di istana,0
Kadaharan eta réstoran karasaeun sapertos masakan di lezat,Kadaharan eta réstoran karasaeun sapertos masakan di teu karasa nanaon.,Kadaharan eta réstoran karasaeun sapertos masakan di rumah sakit.,1
Haténa bener-bener baik,Haténa bener-bener jahat.,Haténa bener-bener salega sagara,0
Haténa bener-bener baik,Haténa bener-bener jahat.,Haténa bener-bener teuas kawas batu.,1
Manehna naroskeun patarosan anu penting,Manehna naroskeun patarosan anu asal ngucap.,Manehna naroskeun patarosan anu seuket siga peso,0
Manehna naroskeun patarosan anu penting,Manehna naroskeun patarosan anu asal ngucap.,Manehna naroskeun patarosan anu deet siga solokan.,1
Imahna karasa kawas nyaman,Imahna karasa kawas teu ngenaheun.,Imahna karasa kawas istana,0
Imahna karasa kawas nyaman,Imahna karasa kawas teu ngenaheun.,Imahna karasa kawas penjara.,1
Manehna ngaréngsékeun tugasna kalayan cepet,Manehna ngaréngsékeun tugasna kalayan lila.,Manehna ngaréngsékeun tugasna kalayan sarébu léngkah,0
Manehna ngaréngsékeun tugasna kalayan cepet,Manehna ngaréngsékeun tugasna kalayan lila.,Manehna ngaréngsékeun tugasna kalayan lengkah kuya.,1
Manehna ningali pantulanna dina eunteung kawas cantik pisan,Manehna ningali pantulanna dina eunteung kawas biasa wae.,Manehna ningali pantulanna dina eunteung kawas putri raja,0
Manehna ningali pantulanna dina eunteung kawas cantik pisan,Manehna ningali pantulanna dina eunteung kawas biasa wae.,Manehna ningali pantulanna dina eunteung kawas jalmi biasa.,1
Padamelannana karasaeun kawas ngeunah,Padamelannana karasaeun kawas teu ngeunah.,Padamelannana karasaeun kawas warna-warni pelangi,0
Padamelannana karasaeun kawas ngeunah,Padamelannana karasaeun kawas teu ngeunah.,Padamelannana karasaeun kawas nincak paku.,1
Luncatna dina pertandingan siga gampil,Luncatna dina pertandingan siga hese.,Luncatna dina pertandingan siga luncat bajing,0
Luncatna dina pertandingan siga gampil,Luncatna dina pertandingan siga hese.,Luncatna dina pertandingan siga luncat kebo.,1
Usaha anu manehna lakukeun kawas gampil,Usaha anu manehna lakukeun kawas hese.,Usaha anu manehna lakukeun kawas naek tangga,0
Usaha anu manehna lakukeun kawas gampil,Usaha anu manehna lakukeun kawas hese.,Usaha anu manehna lakukeun kawas naek bukit.,1
Poe ieu manehnya hudang kalayan wajah anu bahagia,Poe ieu manehnya hudang kalayan wajah anu loba masalah.,Poe ieu manehnya hudang kalayan wajah anu berseri,0
Poe ieu manehnya hudang kalayan wajah anu bahagia,Poe ieu manehnya hudang kalayan wajah anu loba masalah.,Poe ieu manehnya hudang kalayan wajah anu katekuk.,1
Warna baju manehnya katingali bahagia,Warna baju manehnya katingali teu bahagia.,Warna baju manehnya katingali caang sapertos beurang,0
Warna baju manehnya katingali bahagia,Warna baju manehnya katingali teu bahagia.,Warna baju manehnya katingali poek sapertos peuting.,1
Hirupna karasaeun di ngeunah,Hirupna karasaeun di loba cobaan.,Hirupna karasaeun di surga,0
Hirupna karasaeun di ngeunah,Hirupna karasaeun di loba cobaan.,Hirupna karasaeun di naraka.,1
Hawana Jakarta upami tos siang mah panas,Hawana Jakarta upami tos siang mah tiris.,Hawana Jakarta upami tos siang mah sapertos seuneu naraka,0
Hawana Jakarta upami tos siang mah panas,Hawana Jakarta upami tos siang mah tiris.,Hawana Jakarta upami tos siang mah sapertos ibun dina dangdaunan.,1
Rarayna katingali ngora,Rarayna katingali kolot.,Rarayna siga kembang anu kakarak mekar,0
Rarayna katingali ngora,Rarayna katingali kolot.,Rarayna siga tangkal kolot anu layu.,1
Ngapalkeun materi kuliah mah gampil,Ngapalkeun materi kuliah mah sesah.,Ngapalkeun materi kuliah mah kawas ngukir dina kai,0
Ngapalkeun materi kuliah mah gampil,Ngapalkeun materi kuliah mah sesah.,Ngapalkeun materi kuliah mah kawas ngukir dina cai.,1
Milarian padamelan teh sesah,Milarian padamelan teh gampil.,Milarian padamelan salami Covid-19 siga ngalétak ujung irung sorangan,0
Milarian padamelan teh sesah,Milarian padamelan teh gampil.,Milarian padamelan salami Covid-19 siga nyekelan tonggong babaturan.,1
Kasatiaan dina jaman ayeuna langka,"Kasatiaan dina jaman ayeuna biasa wae, seueur kajadian.",Kasatiaan dina jaman ayeuna sapertos milarian maung sumatera,0
Kasatiaan dina jaman ayeuna langka,"Kasatiaan dina jaman ayeuna biasa wae, seueur kajadian.",Kasatiaan dina jaman ayeuna sapertos ningali hayam broiler di pasar.,1
Jualan online shop teh kauntunganna seueur,Jualan online shop teh kauntunganna sakedik.,Jualan online mah meunang kauntunganna téh siga ngagali emas di Pongkor,0
Jualan online shop teh kauntunganna seueur,Jualan online shop teh kauntunganna sakedik.,Jualan online mah meunang kauntunganna téh siga ngala céré ti selokan.,1
Hirup sareng pamajikan mah kaampeuh,Hirup sareng pamajikan mah bébas.,Ceuk batur gé hirup sareng pamajikan mah ibarat keur dijajah Walanda,0
Hirup sareng pamajikan mah kaampeuh,Hirup sareng pamajikan mah bébas.,Ceuk batur gé hirup sareng pamajikan mah ibarat budak leutik ulin kaditu-kadieu.,1
Omongan lalaki téh alus,"Omongan lalaki téh pait,goréng.",Omongan lalaki téh ibarat sarang madu,0
Omongan lalaki téh alus,"Omongan lalaki téh pait,goréng.",Omongan lalaki téh ibarat empedu sasatoan.,1
Barudak jaman ayeuna mah bajuna merecet,Barudak jaman ayeuna mah bajuna logor.,Barudak jaman ayeuna mah bajuna siga leupeut daun kalapa,0
Barudak jaman ayeuna mah bajuna merecet,Barudak jaman ayeuna mah bajuna logor.,Barudak jaman ayeuna mah bajuna siga calana nu euweuh talian.,1
Kamajuan téhnologi di Indonési gancang,"Kamajuan téhnologi di Indonési lalaunan,telat.",Kamajuan téhnologi di Indonésia kawas kareta Shinkansen,0
Kamajuan téhnologi di Indonési gancang,"Kamajuan téhnologi di Indonési lalaunan,telat.",Kamajuan téhnologi di Indonésia kawas kéong keur lumpat.,1
Ayeuna jumlah motor di jalan teh seeur,Ayeuna jumlah motor di jalan teh saeutik.,Ayeuna jumlah motor di jalan téh siga sireum anu ngedeukeutan gula,0
Ayeuna jumlah motor di jalan teh seeur,Ayeuna jumlah motor di jalan teh saeutik.,Ayeuna jumlah motor di jalan téh siga eusi dompét dina ahir bulan.,1
Rasa nasionalisme rumaja tinggi,Rasa nasionalisme rumaja rendah.,Rumaja jaman kiwari mah rasa nasionalismena siga Palung Mariana di Samudra Pasifik,0
Rasa nasionalisme rumaja tinggi,Rasa nasionalisme rumaja rendah.,Rumaja jaman kiwari mah rasa nasionalismena siga jerona balong keur lauk.,1
Nagihan utang teh susah,Nagihan utang teh mudah.,Nagihan ijeuman téh ibarat kaluar tina labirin,0
Nagihan utang teh susah,Nagihan utang teh mudah.,Nagihan ijeuman téh ibarat masak cai dugi ka ngagolak.,1
Nabung lamun rutin mah bisa ngajadikeun beunghar,Nabung lamun rutin mah bisa ngajadikeun malarat.,Nabung lamun rutin bisa nyieun dompét anjeun sapertos atlit sumo,0
Nabung lamun rutin mah bisa ngajadikeun beunghar,Nabung lamun rutin mah bisa ngajadikeun malarat.,Nabung lamun rutin bisa nyieun dompét anjeun sapertos Dobby di Harry Potter.,1
Upami gaduh balita bumina rapih,Upami gaduh balita bumina pabalatak.,"Upami anjeun gaduh murangkalih di handapeun umur lima, suasana bumina sapertos buku anu ngajéjér di perpustakaan",0
Upami gaduh balita bumina rapih,Upami gaduh balita bumina pabalatak.,"Upami anjeun gaduh murangkalih di handapeun umur lima, suasana bumina sapertos kapal rusak.",1
Kamar kos meuni rupek,Kamar kos meuni lega.,Kamar kos abdi téh sapertos liang beurit dina taneuh,0
Kamar kos meuni rupek,Kamar kos meuni lega.,Kamar kos abdi téh sapertos lapangan keur barudak maén bal.,1
Migawé pagawéan kalompok mah beurat,Migawé pagawéan kalompok mah hampang.,Migawé pagawéan kalompok mah karasana siga lumpat di kolam renang,0
Migawé pagawéan kalompok mah beurat,Migawé pagawéan kalompok mah hampang.,Migawé pagawéan kalompok mah karasana siga mawa kapas sakarung.,1
Kawin jeung idola pimanaeun,Kawin jeung idola tiasa waé.,Kawin jeung idola téh kawas ngala cai make rakét,0
Kawin jeung idola pimanaeun,Kawin jeung idola tiasa waé.,Kawin jeung idola téh kawas meunang lauk dina balong anu leutik.,1
Jalmi anu jujur kalem,Jalmi anu jujur riweuh.,Jalmi anu jujur mah biasana jiga kembang taraté dina cai,0
Jalmi anu jujur kalem,Jalmi anu jujur riweuh.,Jalmi anu jujur mah biasana jiga embé di kandang keur lapar.,1
Disuntik rasana nyeri,Disuntik rasana teu nyeri.,Keur kuring mah disuntik vaksin kawas durian ragrag kana sirah,0
Disuntik rasana nyeri,Disuntik rasana teu nyeri.,Keur kuring mah disuntik vaksin kawas digégél sireum.,1
Komén netizen meuni sedih,Komén netizen meuni bungah.,Komén netizen mah siga dikirimkeun surat phk ti kantor,0
Komén netizen meuni sedih,Komén netizen meuni bungah.,Komén netizen mah siga dikirimkeun surat cinta ti kabogoh.,1
Hukum Indonesia teh kotor,Hukum Indonesia teh beresih.,Hukum Indonésia mah siga bujur seéng paranti sangu,0
Hukum Indonesia teh kotor,Hukum Indonesia teh beresih.,Hukum Indonésia mah siga bangkuang dina jero taneuh.,1
Biaya kawinan teh awis,Biaya kawinan teh mirah.,Ngumpulkeun biaya kawinan jaman ayeuna mah siga urang kudu ngajual ginjal,0
Biaya kawinan teh awis,Biaya kawinan teh mirah.,Ngumpulkeun biaya kawinan jaman ayeuna mah siga urang meuli dahareun di warteg.,1
Upami ningali jurig sieun,Upami ningali jurig berani.,Upami urang ningali jurig tengah peuting mah siga kurupuk kéna kua baso,0
Upami ningali jurig sieun,Upami ningali jurig berani.,Upami urang ningali jurig tengah peuting mah siga pawangna komodo.,1
Dosen abdi di kampus baheula meuni galak,Dosen abdi di kampus baheula meuni bageur.,Dosén abdi di kampus baheula siga indung tirina Cinderélla,0
Dosen abdi di kampus baheula meuni galak,Dosen abdi di kampus baheula meuni bageur.,Dosén abdi di kampus baheula siga bidadari di surga.,1
Pamadegan batur keur urang hadé,Pamadegan batur keur urang buruk.,Pamadegan batur keur urang mah siga kembang malati kaluar tina sungut,0
Pamadegan batur keur urang hadé,Pamadegan batur keur urang buruk.,Pamadegan batur keur urang mah siga bisa oray nyiduh tina sungut.,1
Lalampahan ka kantor tebih,Lalampahan ka kantor deukeut.,Lalampahan ka kantor rasana siga nempo puncakna gunung ti handap,0
Lalampahan ka kantor tebih,Lalampahan ka kantor deukeut.,Lalampahan ka kantor rasana siga dago jeung biwir.,1
Pergaulan anu bébas bisa nyieun harga diri murahan,Pergaulan anu bébas bisa nyieun harga diri dipihormat.,Pergaulan anu bébas bisa nyieun harga diri kawas obralan calana lébaran,0
Pergaulan anu bébas bisa nyieun harga diri murahan,Pergaulan anu bébas bisa nyieun harga diri dipihormat.,Pergaulan anu bébas bisa nyieun harga diri kawas inten anu leutik tapi dipilarian ku jalma réa.,1
Getol nabung tapi getol ogé ngahutangna mah teu aya manpaatna,Getol nabung tapi getol ogé ngahutangna mah aya mangpaatna.,Getol nabung tapi getol ogé ngahutangna mah ibarat miceun uyah ka laut,0
Getol nabung tapi getol ogé ngahutangna mah teu aya manpaatna,Getol nabung tapi getol ogé ngahutangna mah aya mangpaatna.,Getol nabung tapi getol ogé ngahutangna mah ibarat lilin dina poék lampu.,1
Jalmi suksés kudu getol,Jalmi suksés kudu kedul.,Jalmi suksés digawé kawas sireum néangan dahareun,0
Jalmi suksés kudu getol,Jalmi suksés kudu kedul.,Jalmi suksés digawé kawas panda nu saré sapopoé.,1
Guru teh gawena tulus,Guru teh gawena pamrih.,Guru téh ibarat lilin anu réla ngaduruk dirina sorangan pikeun meré caang,0
Guru teh gawena tulus,Guru teh gawena pamrih.,Guru téh ibarat tukang dagang ka nu meuli.,1
Nuduh batur ku awon ngajelékkeun diri sorangan,Nuduh batur ku awon nebarkeun kahadean ka diri sorangan.,Nuduh batur ku awon téh kawas jalma nu nyiduh ka langit,0
Nuduh batur ku awon ngajelékkeun diri sorangan,Nuduh batur ku awon nebarkeun kahadean ka diri sorangan.,Nuduh batur ku awon téh kawas nyebarkeun binih kembang sapanjang jalan.,1
Pernikahan mah aya nu awét,Pernikahan mah aya nu teu awét.,Pernikahan mah ti jaman baheula gé asaan pasti aya anu siga mayit dibéré formalin,0
Pernikahan mah aya nu awét,Pernikahan mah aya nu teu awét.,Pernikahan mah ti jaman baheula gé asaan pasti aya anu siga batré hp urut batur.,1
Tulisan manéh keur di sakola mah goreng,Tulisan manéh keur di sakola mah alus.,Tulisan manéh keur di sakola mah siga cékér hayam,0
Tulisan manéh keur di sakola mah goreng,Tulisan manéh keur di sakola mah alus.,Tulisan manéh keur di sakola mah siga huruf anu aya di komputer.,1
Umur manusa panjang,Umur manusa pondok.,Umur manusa mah siga buukna jenglot,0
Umur manusa panjang,Umur manusa pondok.,Umur manusa mah siga tangkal togé.,1
Pikiran babaturan kotor,Pikiran babaturan beresih.,Pikiran babaturan urang mah kawas nu geus ulin di lumpur,0
Pikiran babaturan kotor,Pikiran babaturan beresih.,Pikiran babaturan urang mah kawas nu karek beres mandi.,1
Ngejar kareta mah engal-engal,Ngejar kareta mah santai.,Ngejar kareta api di stasiun mah siga diudag anjing édan,0
Ngejar kareta mah engal-engal,Ngejar kareta mah santai.,Ngejar kareta api di stasiun mah siga nu eweh gaweaneun.,1
Buukna teh kasar,Buukna teh alus.,Buukna dirumbay siga sapu ijuk,0
Buukna teh kasar,Buukna teh alus.,Buukna dirumbay siga sutra nu mahal.,1
Kasuksésan datang ka karihupan teh lami,Kasuksésan datang ka karihupan teh gancang.,Ngadagoan kasuksésan datang ka kahirupan mah ibarat ngadagoan tangkal jati tumuwuh nepi ka badag,0
Kasuksésan datang ka karihupan teh lami,Kasuksésan datang ka karihupan teh gancang.,Ngadagoan kasuksésan datang ka kahirupan mah ibarat ngadagoan mi instan asak.,1
Pangalaman hirup bisa ngajadikeun aambekan,Pangalaman hirup bisa ngajadikeun sabar.,Pangalaman hirup bisa ngajadikeun sipat manusa kawas sumbu nu gampang kaduruk,0
Pangalaman hirup bisa ngajadikeun aambekan,Pangalaman hirup bisa ngajadikeun sabar.,Pangalaman hirup bisa ngajadikeun sipat manusa kawas maung keur nungguan mangsa ti kajauhan.,1
Bogor keur lebaran mah jempling,Bogor keur lebaran mah réa.,Upami keur lebaran di Bogor mah suasanana kos astana anyar,0
Bogor keur lebaran mah jempling,Bogor keur lebaran mah réa.,Upami keur lebaran di Bogor mah suasanana kos ulin ka pasar peuting.,1
Mental manusa teh rapuh,Mental manusa teh kuat.,Méntal manusa siga tembok imah baheula nu gampang muruhpuy,0
Mental manusa teh rapuh,Mental manusa teh kuat.,Méntal manusa siga inten nu teu gampang peupeus.,1
Duit bisa ngarobah jalma jadi sarakah,Duit bisa ngarobah jalma jadi bersukur.,Duit bisa ngarobah jalma kawas Qarun anu dikubur ku hartana sorangan,0
Duit bisa ngarobah jalma jadi sarakah,Duit bisa ngarobah jalma jadi bersukur.,Duit bisa ngarobah jalma kawas dermawan sanajan manéhna kakurangan.,1
Nasib jalma bisa béda-béda aya nu mujur,Nasib jalma bisa béda-béda aya nu sial.,Nasib jalma bisa béda-béda ibaratna mah meunang jackpot sapeuting jeput,0
Nasib jalma bisa béda-béda aya nu mujur,Nasib jalma bisa béda-béda aya nu sial.,Nasib jalma bisa béda-béda ibaratna mah aya tai cakcak ragrag kana tarang.,1
Ngabuka usaha anyar keur pandémik risikona gede,Ngabuka usaha anyar keur pandémik teu aya risiko.,Ngabuka usaha anyar keur pandémik sapertos balayar dina badai,0
Ngabuka usaha anyar keur pandémik risikona gede,Ngabuka usaha anyar keur pandémik teu aya risiko.,Ngabuka usaha anyar keur pandémik sapertos naék gunung anu teu lungkawing.,1
Seueur pangaweruh bisa ngajadikeun manusa pinter,Seueur pangaweruh bisa ngajadikeun manusa bodo.,Seueur teuing pangaweruh bisa ngajadikeun manusa sapertos kantong semar keur ngajuju mangsana,0
Seueur pangaweruh bisa ngajadikeun manusa pinter,Seueur pangaweruh bisa ngajadikeun manusa bodo.,Seueur teuing pangaweruh bisa ngajadikeun manusa sapertos ngojay di balong nu pinuh ku piranha.,1
Nu kaambu dina angkutan umum bau,Nu kaambu dina angkutan umum seungit.,Nu kaambu dina angkutan umum sapertos sangu nu geus leueur,0
Nu kaambu dina angkutan umum bau,Nu kaambu dina angkutan umum seungit.,Nu kaambu dina angkutan umum sapertos keur aya di toko minyak seungit.,1
Balik sareng mantan mah seru,Balik sareng mantan mah bosen.,Balik deui sareng mantan sapertos ningali final badminton,0
Balik sareng mantan mah seru,Balik sareng mantan mah bosen.,Balik deui sareng mantan sapertos nganggo baju anu sami dina unggal dinten.,1
Hubungan jarak jauh pinuh ku rintangan,Hubungan jarak jauh teu aya rintanganana.,Hubungan jarak jauh ibarat arum jeram di sungai,0
Hubungan jarak jauh pinuh ku rintangan,Hubungan jarak jauh teu aya rintanganana.,Hubungan jarak jauh ibarat numpakan kano di talaga.,1
Panghina nyieun leuwih getol,Panghina nyieun nelangsa.,Panghina ti batur mah siga kusir keur mecut kuda,0
Panghina nyieun leuwih getol,Panghina nyieun nelangsa.,Panghina ti batur mah siga racun sianida dina kadaharan.,1
